# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cpu/cycles/P'
# Event count (approx.): 2174006282803
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    99.87%    99.17%  msfw     msfw                  [.] evaluate_packet
            |          
             --99.85%--evaluate_packet
                       |          
                        --0.52%--0xffffffffaaa00f0b

     0.52%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00f0b
            |          
             --0.52%--0xffffffffaaa00f0b

     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadef001
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef009
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac080d85
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac080d87
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae220f7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6db7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaade99ba
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9b49
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffc0c03ffd
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02786
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0277e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeb02bd
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec9b46
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee013d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0145
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02b9b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0836
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf4f0d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaafee5b0
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaafee5a9
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec6d65
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad99279
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadf4f0a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab0ac43a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe627d3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaf0e081
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf4af7
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae220f5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02764
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec5b27
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad5191f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0276f
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec7b9d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad99109
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae406dd
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0246d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffc0d25eed
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0935
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21ae3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabafb4f7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadd3336
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae44d26
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6eb4
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae44d2d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffc045c255
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffc0465026
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffc045c258
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0230e
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0c095
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec5b23
