# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cpu/cycles/P'
# Event count (approx.): 23326754558
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    95.11%    94.21%  msfw     msfw                  [.] evaluate_packet
            |          
             --94.88%--evaluate_packet

     4.34%     4.11%  msfw     msfw                  [.] parse_packet
            |          
             --4.11%--parse_packet
                       |          
                        --0.65%--memcpy (inlined)

     1.42%     0.95%  msfw     msfw                  [.] main
            |          
             --1.01%--main

     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecaaa6
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaec7c41
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c48
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae01ae5
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ae9
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0836
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23daa
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae406d9
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23d87
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffc0464ea7
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd83f8d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd83c82
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd8358d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabe62c59
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffc045c255
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffc0465026
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffc045c258
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_start_user
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_start
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_start_final (inlined)
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_sysdep_start
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] dl_main
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0c0ad
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c2db
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadfa2a2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0bee6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadfa7a3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadfa2a9
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaa011dc
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec69cb
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6ba3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec69cf
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0b646
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaade9e2e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0b649
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae020d0
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae020d2
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0277e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02786
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaa01208
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa01211
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaade6e2a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01b29
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeaca9
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaade6e31
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad98ea9
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98990
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac080e7a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac0656d1
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21a73
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21a7a
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaeb02fe
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeb0302
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaa011be
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa01261
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadef046
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab0ac3e0
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac080d71
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac080d79
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac080d9a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac080d9d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0b4e6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0b4e8
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac07f830
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac07f838
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21a83
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad0c05a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad0c05e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21a8a
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadf416b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf416d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec5b7e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98f00
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadf4ec6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf4ec9
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae96dce
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae96dcf
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae024a2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae024a6
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab19bf4f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec48ba
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec450b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec382e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe9e0b8
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe9df5e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe9c81e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe987ce
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabd57568
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabd531e2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab19bf53
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21f99
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21fa3
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac065e1c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac065e33
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad0c0d9
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad0c0e0
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab9582b0
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab9582b5
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaac9670e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaac96711
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0c5b1
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c5b2
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadf41ad
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf41af
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad5177c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad5177d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21f1d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21f24
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae022e1
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae022e8
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab0ac44e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab0ac453
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec6d6f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6d73
